675.783879,924.495305,125
697.717722,748.277052,125
839.189843,818.087171,125
855.420791,632.607178,125
974.566877,814.717180,125
127.298291,129.107935,125
256.069691,329.804548,125
71.473811,275.503311,125
267.461072,156.770819,125
388.620393,547.600946,125
263.415140,722.475174,125
170.419517,538.621181,125
705.160592,229.043889,125
399.888840,220.308948,125
650.989136,578.015890,125
485.066906,805.818361,125
71.545188,691.312501,125
35.228789,864.766123,125
145.113009,414.014438,125
799.813250,330.132676,125
135.405349,818.072624,125
239.895070,918.439730,125
817.208465,149.006050,125
972.139664,395.381862,125
659.714291,80.652881,125
922.778294,246.899094,125
